TIME;OV1(T)
0;25
0.00128;25
0.1;25
0.2025;25
0.3075;25
0.4175;25.0001
0.5375;25.0001
0.65;25.0001
0.7525;25.0001
0.8575;25.0001
0.9675;25.0001
1.0875;25.0001
1.151298232;25.0001
1.159164095;25.0007
1.182068295;25.0065
1.2075;25.0206
1.2375;25.0469
1.2575;25.0703
1.2875;25.1136
1.3075;25.1479
1.3375;25.2073
1.3575;25.2521
1.3875;25.3266
1.4075;25.3812
1.4375;25.4701
1.4575;25.5339
1.4875;25.6364
1.5175;25.7466
1.5575;25.9053
1.5875;26.0326
1.6175;26.1669
1.6575;26.3563
1.7025;26.583
1.7375;26.7687
1.7675;26.9342
1.8075;27.1636
1.8575;27.4637
1.9075;27.7777
1.9575;28.1049
2.0075;28.4445
2.0575;28.7957
2.1075;29.1578
2.1575;29.5302
2.2075;29.9122
2.2575;30.3032
2.3075;30.7027
2.3575;31.11
2.4075;31.5247
2.4575;31.9463
2.5175;32.4606
2.5675;32.8956
2.6175;33.3361
2.6675;33.7817
2.7175;34.2319
2.7675;34.6864
2.8175;35.1449
2.9075;35.9791
2.9675;36.541
3.0575;37.3911
3.1575;38.3444
3.2675;39.4014
3.3675;40.3682
3.4875;41.5336
3.6;42.6294
3.7025;43.6291
3.8075;44.6533
3.9175;45.7251
4.0375;46.8918
4.15;47.9822
4.2525;48.9719
4.3575;49.9814
4.4675;51.0336
4.5675;51.985
4.6675;52.9311
4.7675;53.8714
4.8675;54.8058
4.9675;55.7339
5.0675;56.6556
5.1675;57.5706
5.2675;58.4787
5.3675;59.3798
5.4675;60.2738
5.5675;61.1606
5.6675;62.0401
5.7675;62.9122
5.8675;63.7769
5.9675;64.6341
6.0675;65.4838
6.1675;66.3259
6.2675;67.1605
6.3675;67.9875
6.4675;68.807
6.5675;69.619
6.6675;70.4234
6.7675;71.2203
6.8675;72.0098
6.9675;72.7918
7.0675;73.5664
7.1875;74.4862
7.3;75.339
7.4025;76.1079
7.5075;76.8877
7.6175;77.6962
7.7375;78.5683
7.85;79.3768
7.9525;80.1056
8.0575;80.8447
8.1675;81.6108
8.2875;82.4372
8.4;83.2032
8.5025;83.8936
8.6075;84.5937
8.7175;85.3194
8.8375;86.1021
8.95;86.8275
9.0525;87.4814
9.1575;88.1443
9.2675;88.8315
9.3875;89.5726
9.5;90.2594
9.6025;90.8785
9.7075;91.5062
9.8175;92.1568
9.9375;92.8584
10.05;93.5086
10.1525;94.0947
10.2575;94.6889
10.3675;95.3047
10.4875;95.9689
10.6;96.5844
10.7025;97.1392
10.8075;97.7017
10.9175;98.2846
11.0375;98.9133
11.15;99.4959
11.2525;100.021
11.3575;100.553
11.4675;101.105
11.5875;101.7
11.7;102.252
11.8025;102.749
11.9075;103.253
12.0175;103.775
12.1375;104.338
12.25;104.86
12.3525;105.331
12.4575;105.808
12.5675;106.302
12.6875;106.835
12.8;107.329
12.9025;107.775
13.0075;108.226
13.1175;108.694
13.2375;109.199
13.35;109.666
13.4525;110.088
13.5575;110.515
13.6675;110.958
13.7875;111.435
13.9;111.878
14.0025;112.277
14.1075;112.681
14.2175;113.101
14.3375;113.553
14.45;113.971
14.5525;114.349
14.6575;114.732
14.7675;115.129
14.8875;115.556
15;115.953
15.1025;116.31
15.2075;116.673
15.3175;117.048
15.4375;117.453
15.55;117.828
15.6525;118.167
15.7575;118.51
